name,lat,lon,rating,user_ratings_total,type_list,type_main,address,categoria
Merlin's kebap,39.5780627,2.666151,4.3,778.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer Josep Darder, 17, Palma",Comida
Domino's Pizza,39.58672,2.653309,3.8,1845.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer d'Alfons el Magnànim, 38, Palma",Comida
Arrossería Paellas Palma,39.588264,2.653507,3.8,169.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer San Francisco de Sales, 8, Palma",Comida
L'Artista Pizzeria Napoletana,39.56191,2.626769,4.3,3257.0,"['cafe', 'meal_takeaway', 'bar', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Avinguda de Gabriel Roca, 34, Palma",Comida
Asador Real,39.580724,2.677225,4.3,414.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer d'Indalecio Prieto, 45, Palma",Comida
Burger King,39.59485179999999,2.6481543,3.3,1653.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer del Bisbe Pere de Puigdorfila, 1, Palma",Comida
"Telepizza Palma de Mallorca, Alcover - Comida a Domicilio",39.5683645,2.6603112,3.2,494.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer de Joan Alcover, 33, Palma",Comida
Restaurante Chino La Suerte,39.5802091,2.6380236,4.0,481.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Avinguda de Sant Ferran, 14, Bj, Palma",Comida
Viding,39.5759252,2.625914400000001,3.8,772.0,"['gym', 'spa', 'restaurant', 'food', 'point_of_interest', 'health', 'establishment']",gym,"Avinguda de Picasso, 42, Palma",Actividad
Estudio Pilates Palma,39.5726007,2.642783399999999,4.9,45.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Avinguda de Jaume III, 26, Entresuelo 2º, Palma",Actividad
Narada Yoga & Ayurveda,39.5808222,2.6371464,5.0,10.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de Jeroni Alemany, 24, Palma",Actividad
Basic-Fit,39.57607,2.645075400000001,3.8,1401.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Avinguda de Portugal, 7, Palma",Actividad
Gimnàs Grech,39.5803955,2.6466421,4.6,104.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de Lluís Vives, 5, Palma",Actividad
Richards Villot,39.5822864,2.6471184,,,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer del General Riera, 44, Palma",Actividad
