name,lat,lon,rating,user_ratings_total,type_list,type_main,address,categoria,place_id,distance_km
Pastelería Bomboneria Cladera,39.57187009999999,2.654264099999999,1.0,1.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Plaça de l'Olivar, 7, Palma",Comida,PLACE_67,0.4441855992584455
Forn del Santo Cristo,39.5740302,2.652053,4.1,779.0,"['cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer de Sant Miquel, 47, Palma",Comida,PLACE_68,0.523100943622631
"Panadería Fornaris, S.L.",39.5697164,2.6671736,4.2,36.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Calle Sargento Cortés Piña, 2, Palma",Comida,PLACE_69,1.4720866324352522
Forn Nou,39.58154099999999,2.6482785,4.3,72.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer de Sant Joaquim, 8, Palma",Comida,PLACE_70,1.3359512196859769
Pastisseria Cort,39.56949609999999,2.649866,3.6,530.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Plaça de Cort, n2, Palma",Comida,PLACE_71,0.0162910596895263
Pastisseria Mariola’s,39.5702143,2.651163,4.4,783.0,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer dels Set Cantons, 6, Palma",Comida,PLACE_72,0.1208433502295663
Forn del Santo Cristo,39.570866,2.651259699999999,4.1,977.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Plaça del Marquès del Palmer, 2, Palma",Comida,PLACE_73,0.1774128991082079
PaneNostro,39.571424,2.6548109,4.6,163.0,"['bakery', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Plaça Nova de la Ferreria, 6, Palma",Comida,PLACE_74,0.4595392201489557
La Hogaza,39.570548,2.655937999999999,4.6,205.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer del Socors, 50, Palma",Comida,PLACE_75,0.5197721467099307
Lluís Perez Pastisser,39.5736741,2.6453147,4.6,578.0,"['cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer de Bonaire, 14, Palma",Comida,PLACE_76,0.6053916144120157
Mise en Place,39.5674151,2.6596871,4.1,280.0,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer Miquel Santandreu, 16, Palma",Comida,PLACE_77,0.8651531507054852
Rosevelvet,39.5775423,2.6503454,4.4,1136.0,"['cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer de Font i Monteros, 22, Palma",Comida,PLACE_78,0.8836395129855336
MDQ,39.5784368,2.646229,3.6,706.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer Carles I, 8, Palma",Comida,PLACE_79,1.0343991998173447
Gelats Paco Blanquerna,39.5788972,2.6507891,4.2,536.0,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"Carrer de Blanquerna, 10, Palma",Comida,PLACE_80,1.036011439863182
Forn Ca sa Camena,39.5716709,2.6378841,4.5,107.0,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"Carrer d'Anníbal, 22, Palma",Comida,PLACE_81,1.0637197509104612
thomas bakeshop boutique,39.57170199999999,2.637629,4.7,173.0,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"Carrer d'Anníbal, 24, Palma",Comida,PLACE_82,1.0858160030740172
Squarcia La Exquisiteria,39.579831,2.653082,3.9,57.0,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"Carrer de Julià Alvarez, 9, bajos, Palma",Comida,PLACE_83,1.1679002857374583
Forn de pa i pastisseria Mestre,39.5754955,2.638640699999999,4.3,22.0,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"Carrer de Desbach, 4, Palma",Comida,PLACE_84,1.173745243945204
Tudurí Pastisseria i Cafè,39.58113539999999,2.6492145,4.2,1705.0,"['bakery', 'bar', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"07003, Carrer de Blanquerna, 42, Palma",Comida,PLACE_85,1.2844435266363092
Angelo Paletta Panaderia y Pasteleria Mallorca,39.5817142,2.6536548,4.4,305.0,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"Carrer de Rosselló i Cazador, 17, Palma",Comida,PLACE_86,1.3829791660906177
Forn La Mallorquina,39.5739425,2.6339961,4.3,24.0,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"Carrer de Joan Crespí, 18, Palma",Comida,PLACE_87,1.454233070037583
Panadería Pastelería San Bartolomé,39.5824279,2.637651,4.5,192.0,"['bakery', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"Carrer de Francesc Martí i Móra, 35, Palma",Comida,PLACE_88,1.7761775200479204
Tartasmallorca,39.58765930000001,2.6479034,,,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",Bakery,"Carrer de Cotlliure, 1, Palma",Comida,PLACE_89,2.016125720201744
Naturalment,39.57065789999999,2.6511136,1.0,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Meal takeaway,"Carrer de Colom, 15, Palma",Comida,PLACE_90,0.1514875766030515
"Telepizza Palma de Mallorca, La Riera - Comida a domicilio",39.5822245,2.6449134,3.0,412.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Carrer d'Anselm Turmeda, 7, Bajo 2, Palma",Comida,PLACE_91,1.4699176070072093
Palma Pollo I Restaurante,39.5766642,2.6420779,4.2,493.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Carrer Rafael Rodríguez Méndez, 7, Palma",Comida,PLACE_92,1.0382990028875585
Chino Hola,39.5815243,2.651365999999999,3.4,159.0,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Carrer del Pare Bartomeu Pou, 12, Palma",Comida,PLACE_93,1.3310804318733451
"La Mafia de la Pizza Nostra, Pizzeria a Domicilio en Palma",39.58476299999999,2.657361,4.3,293.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Carrer de l'Arxiduc Lluís Salvador, 89, Palma",Comida,PLACE_94,1.800212857485253
"Galactic Club - Palma, Illes Balears",39.57313569999999,2.6398339,4.7,254.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Carrer de Murillo, 9, Palma",Comida,PLACE_95,0.9559504004361952
Pasta Cuore S.L.,39.56999799999999,2.6507456,,,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Meal takeaway,"Carrer de Colom, 8, Palma",Comida,PLACE_96,0.0777359859033873
Rapha Mallorca,39.5694457,2.6483433,4.5,783.0,"['clothing_store', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Meal takeaway,"Plaça del Rosari, 1, Palma",Comida,PLACE_97,0.143036548316592
Al Punt - Restaurant Palma,39.5734478,2.6492477,4.2,629.0,"['bar', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Meal takeaway,"Carrer de Santa Magdalena, 1, Palma",Comida,PLACE_98,0.4326875000188872
La Fornarina,39.57461079999999,2.6534785,3.5,196.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Carrer dels Caputxins, 4, Palma",Comida,PLACE_99,0.6319310225300034
Llaollao Olmos,39.575163,2.651626,4.2,438.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Meal takeaway,"Carrer dels Oms, 7, Palma",Comida,PLACE_100,0.6340828193794714
Domino's Pizza,39.56986,2.65756,3.6,1969.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Avinguda de Gabriel Alomar, 11, Palma",Comida,PLACE_101,0.6486469614586537
Vegan and Raw,39.5755728,2.6486527,4.2,186.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Plaça del Bisbe Berenguer de Palou, nº2, Bajos, Palma",Comida,PLACE_102,0.674109743467757
McDonald's,39.5728666,2.6574289,3.4,2236.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Carrer Nuredduna, 1, Bajos, Palma",Comida,PLACE_103,0.7330674319566081
Palma Pollo II,39.567533,2.659993,4.4,335.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Carrer de Joan Alcover, 45, Palma",Comida,PLACE_104,0.8868607611228299
Jaipur Tandoori - Indian Restaurant Palma,39.5720445,2.639691500000001,4.7,2373.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Meal takeaway,"Carrer de la Fàbrica, 5, Palma",Comida,PLACE_105,0.9244396835654192
